frame,t_raw_s,utc,lum_mean,r_mean,g_mean,b_mean,roi_lum_mean,lum_max
-1,612457.98877199,2026-09-06T19:59:56.998570+00:00,anchor,anchor,anchor,anchor,anchor,anchor
236,612482.952646,2026-09-06T20:00:22.031736+00:00,50.241,88.074,23.304,89.714,59.901,255
237,612483.059607,2026-09-06T20:00:22.139229+00:00,50.497,88.616,23.424,89.921,60.086,255
238,612483.166731,2026-09-06T20:00:22.244751+00:00,50.325,88.258,23.339,89.785,59.907,255
239,612483.270646,2026-09-06T20:00:22.349483+00:00,51.052,89.836,23.608,90.641,60.640,255
240,612483.376503,2026-09-06T20:00:22.454875+00:00,51.833,91.415,24.040,91.125,61.433,255
241,612483.481454,2026-09-06T20:00:22.560120+00:00,50.528,88.823,23.299,90.294,59.990,255
242,612483.585188,2026-09-06T20:00:22.664187+00:00,50.354,88.476,23.191,90.232,59.754,255
243,612483.692256,2026-09-06T20:00:22.771604+00:00,50.229,88.217,23.111,90.226,59.627,255
244,612483.796455,2026-09-06T20:00:22.875306+00:00,49.597,86.954,22.780,89.705,58.920,255
245,612483.901869,2026-09-06T20:00:22.981851+00:00,49.969,87.630,23.057,89.765,59.394,255
246,612484.009091,2026-09-06T20:00:23.087140+00:00,50.188,88.123,23.101,90.166,59.548,255
247,612484.113515,2026-09-06T20:00:23.191446+00:00,49.931,87.541,23.049,89.710,59.372,255
248,612484.219831,2026-09-06T20:00:23.299990+00:00,50.759,89.226,23.461,90.425,60.118,255
249,612484.327149,2026-09-06T20:00:23.405311+00:00,50.080,87.930,23.023,90.124,59.387,255
250,612484.432282,2026-09-06T20:00:23.510880+00:00,49.937,87.575,22.962,90.116,59.261,255
251,612484.538799,2026-09-06T20:00:23.618458+00:00,51.046,89.846,23.578,90.721,60.414,255
252,612484.645867,2026-09-06T20:00:23.724160+00:00,50.850,89.462,23.461,90.611,60.183,255
253,612484.750629,2026-09-06T20:00:23.829960+00:00,50.795,89.329,23.409,90.745,60.047,255
254,612484.856942,2026-09-06T20:00:23.936302+00:00,50.445,88.594,23.295,90.181,59.753,255
255,612484.963795,2026-09-06T20:00:24.042529+00:00,50.108,87.908,23.121,89.925,59.426,255
256,612485.068898,2026-09-06T20:00:24.148854+00:00,51.370,90.504,23.724,91.078,60.639,255
257,612485.176218,2026-09-06T20:00:24.255308+00:00,50.290,88.346,23.130,90.328,59.488,255
258,612485.282391,2026-09-06T20:00:24.361210+00:00,50.270,88.235,23.179,90.191,59.477,255
259,612485.386708,2026-09-06T20:00:24.465423+00:00,50.861,89.426,23.502,90.586,60.144,255
260,612485.492562,2026-09-06T20:00:24.571292+00:00,50.137,87.948,23.128,90.040,59.356,255
261,612485.596218,2026-09-06T20:00:24.675164+00:00,50.039,87.754,23.080,89.935,59.264,255
262,612485.701699,2026-09-06T20:00:24.781965+00:00,51.019,89.768,23.568,90.737,60.297,255
263,612485.810944,2026-09-06T20:00:24.890227+00:00,50.481,88.708,23.269,90.332,59.770,255
264,612485.915345,2026-09-06T20:00:24.993778+00:00,50.807,89.357,23.463,90.496,60.209,255
265,612486.021556,2026-09-06T20:00:25.101368+00:00,50.682,89.125,23.392,90.375,60.102,255
266,612486.128347,2026-09-06T20:00:25.206245+00:00,50.943,89.692,23.454,90.855,60.239,255
